player_name,season,off_score_1,off_score_2,off_score_3,def_score,reb_score
Jaromir Bohacik,2022-2023,59.436943407066934,90.49123814995691,88.68141338695777,18.155702384372308,44.4412525136455
Jonas Richter,2022-2023,86.84286124676817,18.730249928181557,43.00488365412238,72.5653547831083,75.72536627405918
Gabriel Chachashvili,2022-2023,81.0686584314852,11.376041367423154,17.581154840563055,78.68428612467682,82.79230106291295
Jonathan Baehre,2022-2023,34.501580005745474,20.913530594656702,21.459350761275495,82.27520827348464,60.70094800344729
Spencer Reaves,2022-2023,7.066934788853778,61.93622522263718,62.6831370295892,4.510198218902614,37.7765010054582
Christian Sengfelder,2022-2023,78.28210284401034,38.63832232117208,36.6274059178397,54.783108302212014,74.23154266015513
Niels Giffey,2022-2023,65.72823901177823,62.97041080149383,61.41913243320885,46.71071531169204,47.773628267739156
Marko Filipovity,2022-2023,37.63286411950589,56.01838552140189,52.772191898879626,27.23355357655846,39.35650675093364
Justin Johnson,2022-2023,86.29704108014938,61.41913243320885,21.918988796322896,91.29560471128984,89.45705257110026
Zachary Ensminger,2022-2023,0.0861821315713875,9.681126113185863,23.412812410226948,0.0287273771904625,32.519390979603564
Will Cherry,2022-2023,45.360528583740304,92.0999712726228,81.32720482619938,34.47285262855501,27.60700948003447
Gerel Simmons,2022-2023,23.384085033036484,97.2421717897156,96.15053145647803,17.006607296753806,20.48261993679977
Amir Bell,2022-2023,21.660442401608737,76.64464234415398,96.09307670209712,25.1364550416547,41.39615053145648
Elias Valtonen,2022-2023,41.62596954898018,28.210284401034187,53.059465670784256,48.60672220626257,56.62166044240161
Kendale McCullum,2022-2023,48.69290433783395,45.67652973283539,68.68715886239586,60.270037345590346,19.10370583165757
Jeremy Morgan,2022-2023,33.32375754093651,91.35305946567078,83.94139615053146,75.52427463372594,52.657282390117786
Jeff Roberson,2022-2023,73.62826773915542,22.809537489227232,31.427750646365983,37.66159149669635,70.9566216604424
Isaiah Whitehead,2022-2023,47.60126400459638,54.72565354783109,71.21516805515657,69.83625395001437,42.66015512783683
Rihards Lomazs,2022-2023,17.810973858086758,49.43981614478598,66.56133295030163,65.98678540649239,4.0792875610456765
Martinas Geben,2022-2023,91.55415110600404,27.40591783970123,14.76587187589773,83.39557598391268,85.17667336972134
Devin Robinson,2022-2023,86.52686009767308,36.74231542660155,69.52025280091928,78.42573972996266,75.63918414248779
Jordan Davis,2022-2023,52.025280091927605,27.808101120367713,99.56908934214306,40.21832806664752,34.96121804079287
Aaron Ganal,2022-2023,10.77276644642344,35.85176673369722,57.56966388968687,5.084745762711865,1.235277219189888
Dan Duscak,2022-2023,29.761562769319163,52.42746337259408,42.545245619074976,72.62280953748923,44.52743464521689
Lucas Mari Tardio,2022-2023,9.020396437805228,82.16029876472278,22.206262568227523,1.120367710428038,53.863832232117204
Sergio De Larrea,2022-2023,42.8325193909796,74.77736282677392,55.47256535478311,29.704108014938235,40.33323757540936
Hugo Lopez Barrantes,2022-2023,96.46653260557312,15.311692042516515,26.975007181844298,34.243033611031315,95.3174375179546
Alonso Meana Perez,2022-2023,13.15713875323183,89.28468830795748,51.65182418845159,16.48951450732548,13.530594656707843
Pavel Savkov,2022-2023,29.589198506176384,47.342717609882214,83.05084745762711,46.33725940821603,9.422579718471704
Gonzalo Bressan,2022-2023,80.81011203677105,28.296466532605574,48.52054007469118,97.15598965814422,78.4544671071531
Marinus Lucas N'Guessan,2022-2023,93.90979603562197,6.664751508187303,10.88767595518529,91.58287848319448,91.81269750071819
Willy Isiani,2022-2023,76.7020970985349,43.34961218040793,73.19735708129848,68.28497558172938,65.55587474863545
Tomas Chapero,2022-2023,83.19448434357943,4.596380350474002,11.404768744613616,91.8126975007182,65.26860097673082
Alberto Diaz,2022-2023,6.980752657282391,67.16460787130136,28.871014076414824,87.50359092214882,38.60959494398161
Emil Stoilov,2022-2023,94.80034472852628,2.3269175524274632,3.274920999712726,90.2614191324332,94.4843435794312
Guilermo Mulero Maldonado,2022-2023,38.66704969836254,67.30824475725366,79.97701809824763,15.972421717897156,24.01608733122666
Musa Sagnia,2022-2023,19.01752370008618,12.46768170066073,47.6587187589773,15.54151106004022,70.72680264291871
Keith Langford,2020-2021,71.21516805515657,60.64349324906636,79.20137891410515,88.65268600976731,23.90117782246481
DeAndre Lansdowne,2020-2021,74.14536052858374,76.41482332663028,91.55415110600404,58.919850617638616,22.43608158575122
Jean-Baptiste Maille,2020-2021,37.948865268600976,46.16489514507325,69.31916116058603,27.6644642344154,50.76127549554725
Jaromir Bohacik,2020-2021,62.94168342430336,80.86756679115197,87.96322895719621,31.111749497270903,22.378626831370298
Jonas Maciulis,2020-2021,63.63114047687446,64.20568802068371,46.99798908359667,61.64895145073255,75.69663889686872
Leopold Cavaliere,2020-2021,70.15225509910945,16.862970410801495,42.77506463659868,65.23987359954036,81.58575122091352
Brandon Jefferson,2020-2021,30.192473427176097,94.0247055443838,80.03447285262855,51.22091353059466,3.418557885665039
Bonzie Colson II,2020-2021,78.97155989658144,63.027865555874754,93.76615914966963,83.33812122953175,65.41223786268314
Ishmail Wainright,2020-2021,77.93737431772479,87.99195633438667,47.77362826773915,79.02901465096237,56.53547831083022
Matt Lojeski,2020-2021,55.27147371444987,40.16087331226659,39.873599540361965,48.26199367997702,34.386670496983626
Linos Chrysikopoulos,2020-2021,78.4544671071531,66.5038781959207,47.888537776501,52.05400746911807,46.653260557311114
Nikolaos Rogkavopoulos,2020-2021,7.698937087043952,26.486641769606432,30.135018672795173,25.88336684860672,50.646365986785405
Bennet Hundt,2020-2021,43.66561332950302,96.40907785119218,57.54093651249641,35.2484918126975,1.4938236139040506
Daryl Macon,2020-2021,37.05831657569664,74.4039069232979,79.48865268600976,29.330652111462225,21.085894857799484
Nikos Gkikas,2020-2021,12.496409077851192,90.00287273771904,68.54352197644356,5.37201953461649,21.60298764722781
Yannis Morin,2020-2021,93.5650675093364,14.708417121516806,23.728813559322035,88.42286699224361,87.13013501867279
Steven Gray,2020-2021,38.0063200229819,80.2355644929618,65.41223786268314,44.52743464521689,15.168055156564206
Ike Udanoh,2020-2021,83.71157713300775,18.758977305372017,35.21976443550704,51.24964090778512,85.9810399310543
Michele Vitali,2020-2021,16.23096811261132,86.38322321172078,61.47658718758977,69.57770755530021,17.98333812122953
Yanick Moreira,2020-2021,99.51163458776212,11.08876759551853,14.708417121516806,86.9003160011491,95.11634587762138
Christian Sengfelder,2020-2021,86.23958632576846,53.57655846021259,31.600114909508765,62.367135880494104,69.89370870439528
Alexandre Pierre Louis Chassang,2020-2021,92.58833668486068,42.28669922436082,33.12266590060327,79.91956334386671,73.45590347601264
Jacques Alingue,2020-2021,81.87302499281816,6.607296753806377,12.438954323470266,97.41453605285837,74.34645216891698
Axel Philippe Jean Julien,2020-2021,37.92013789141052,99.65527147371444,60.21258259120942,54.6394714162597,25.07900028727377
Abdulaye Loum,2020-2021,79.80465383510486,7.900028727377191,42.31542660155127,76.55846021258259,81.01120367710428
Hans Vanwijn,2020-2021,84.31485205400747,56.76529732835392,60.67222062625682,66.21660442401608,79.0002872737719
Chase Fieler,2020-2021,70.52571100258547,96.52398735995403,55.70238437230681,83.85521401896007,50.47400172364264
