player name,def_cluster
Sean McDonnell,A
Edu Martinez,A
Andre Lazar Norris Jr,A
Jeffrey Solarin,B
Clint Robinson,B
Jose Ignacio Nogues,A
Gary McGhee,B
Alejandro Hernandez,A
Nikola Cvetinovic,B
Carles Bivia,A
Joan Faner Fahner Catala,A
Marc-Eddy Norelia,B
Elijah Brown,A
Arnaud William Adala Moto,A
Micah Speight,A
Juan Rubio,A
Carlos Noguerol Barrenechea,A
Chuso Gonzalez,A
Eduard Gatell,B
Patrick Whelan,A
Robert Michael Harris II,A
Oliver Arteaga,B
Herve Kabasele Kasonga,B
Albert Sabat,A
David Navarro,A
Davis Rozitis,B
Ferran Ventura Pedreno,A
Sasa Borovnjak,B
Alf Sylvester Berg Pedersen,A
Papa Mbaye,B
Marc Marti,A
Agusti Sans,A
Justin Tafari Raffington,B
Daniel Rodriguez,A
Filip Djuran,A
Aaron Menzies,B
Francisco Del Aguila,B
Miguel Gonzalez,A
Andris Misters,A
Reed Timmer,A
Jacob Round,A
Tomas Pavelka,B
Sergio Mendiola,B
Karamo Jawara,B
Adrian Chapela,A
Eddy Polanco,A
Ryan Logan,A
Kevin Bercy,B
Adonys Henriquez,A
Cameron Oluyitan,A
Mikel Sanz,A
Djordje Dimitrijevic,A
Michael Buchanan,B
Robert Cosialls,A
Luciano Massarelli,A
Roeland Schaftenaar,B
Jose Ignacio Martin Monzon,B
Miguel Feliu,A
Jorge Lafuente,A
Matej Kavas,A
Ivan Martines Munumer,A
Jubril Adekoyo,A
Mathieu Kamba,A
Alec Wintering,A
Antoine Mason,A
Harald Frey,A
Olaf Schaftenaar,A
Aitor Zubizarreta,A
Joey Van Zegeren,B
Jose Maria Gil,B
Sean Smith,A
Ander Urdiain Labayen,A
Biram Faye,B
Ayoze Alonso,A
Serigne Barro,B
Mirza Bulic,B
Jeffrey Xavier,A
Alejandro Mazaira,A
Jorge Sanz,A
Mikel Uriz,A
Kris Joseph,A
Spencer Reaves,A
Arkeem Joseph,B
Preston Purifoy,A
Devin Schmidt,A
Sergio De La Fuente,A
Chukwukelue Okeke,B
Daniel De La Rua De Augustin,A
Gerard Sevillano,A
Alberto Ruiz De Galarreta Fernandez,A
Toledo,A
David Cubillan,A
Pedro Llompart Uson,A
Nicolas Richotti,A
Daniel Clark,B
Ignacio Rosa Pompido,B
Kevin van Wijk,A
Joan Tomas,A
Strahinja Gavrilovic,B
Pablo Ferreiro Costas,A
Diogo Emanuel de Sousa Anjo Brito,A
Conner Toolson,A
Luis Maria Parejo Camacho,A
