
Cluster 0:
,points,points per player's possession,field goals made,field goals attempted,"field goals, %",3-pt field goals made,3-pt field goals attempted,"3-pt field goals, %",free throws made,free throws attempted,"free throws, %",assists,2-pt field goals made,2-pt field goals attempted,"2-pt field goals, %",points off assists,screen assist,points off screen assists,number of player's possessions,team points with player,offensive rating,assists to turnovers,true shooting percentage,effective field goal percentage,uncontested field goals made,uncontested field goals,contested field goals made,contested field goals,transitions made,transitions attempted,catch and shoot made,catch and shoot attempted,catch and drive made,catch and drive attempted,screens off made,screens off attempted,posts up made,posts up attempted,isolations made,isolations attempted,hand off made,hand off attempted,cuts made,cuts attempted,pnr handlers made,pnr handlers attempted,pnp made,pnp attempted,drives made,drives with shot,right drives made,right drives,left drives made,left drives,cluster
Cluster 2:
,points,points per player's possession,field goals made,field goals attempted,"field goals, %",3-pt field goals made,3-pt field goals attempted,"3-pt field goals, %",free throws made,free throws attempted,"free throws, %",assists,2-pt field goals made,2-pt field goals attempted,"2-pt field goals, %",points off assists,screen assist,points off screen assists,number of player's possessions,team points with player,offensive rating,assists to turnovers,true shooting percentage,effective field goal percentage,uncontested field goals made,uncontested field goals,contested field goals made,contested field goals,transitions made,transitions attempted,catch and shoot made,catch and shoot attempted,catch and drive made,catch and drive attempted,screens off made,screens off attempted,posts up made,posts up attempted,isolations made,isolations attempted,hand off made,hand off attempted,cuts made,cuts attempted,pnr handlers made,pnr handlers attempted,pnp made,pnp attempted,drives made,drives with shot,right drives made,right drives,left drives made,left drives,cluster
count,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0,1517.0
mean,10.177734141727681,0.9088204048680173,3.488578819166644,8.24598932907667,0.419874773030626,1.3479090667922844,3.873960056179995,0.33996984236986133,1.8553017628491093,2.3782401428735085,0.7738164296935147,3.047363161003251,2.141195183286133,4.3673900129758065,0.4854274289977104,7.199329418431497,0.15173905516759664,0.33716118308803195,49.86883912634177,47.4717716780279,95.1612005094008,1.7489770342008952,0.5434946519302362,0.5014392813364728,0.4601667757276727,1.129037495762366,2.82377776214777,6.9089594537986025,0.5209482711813541,0.95171981512521,0.6012316836818379,1.6026507065439153,0.30153670341238026,0.7405629881871417,0.2587047834908444,0.639820406017422,0.06677794567500712,0.15514455033990018,0.3088068668542514,0.7875676319910506,0.17562238257031826,0.446585868746861,0.15856594951631722,0.23394856299452602,0.8928368165178828,2.2141309557427156,0.018445848449637342,0.05115367165041647,0.8156689412803776,1.6961483950250538,0.4244015121642858,0.8709453070599263,0.39100124709893813,0.8238886812466901,2.0
std,3.5215193237055593,0.1215964080814254,1.2099332386650605,2.5503116478499663,0.05204501246874443,0.6359497326427405,1.535618721011555,0.06683237013003242,0.9782959190398742,1.1858217653989023,0.09839043747149932,1.49236937628797,0.9912365606860672,1.8510363839276527,0.06969930068077383,3.5327008938636646,0.13254052420398926,0.3001177244556655,9.513635901567653,9.633702928802629,6.430026123184384,0.6762146677957503,0.06072272474731087,0.0614242654301246,0.2505238453295508,0.4889477000293455,1.07291618087726,2.357684277902752,0.3102637755875876,0.5022952808300004,0.29373253035774605,0.6305280597154621,0.19386121958376523,0.3818148092957831,0.2643732479898827,0.618318423556059,0.13155427648031462,0.28513191351283623,0.2851711317898974,0.6447624248888414,0.1347177025264572,0.29466169472645504,0.1678075235172586,0.2304500132028627,0.5840576495096772,1.2693348688725234,0.03878687878958896,0.09021135658578477,0.479332802180681,0.8819509550779107,0.2909309947171232,0.5196319766516995,0.2872369477493983,0.5277556161143443,0.0
min,3.092210431248589,0.52,0.9239873560623166,2.7015579137502823,0.25,0.0,0.23,0.0,0.0442238267148014,0.0442238267148014,0.28,0.25,0.22,0.83,0.17,0.64,0.0,0.0,16.738315646872884,15.492210431248589,74.0,0.21,0.3502374222724703,0.2854423767548155,0.0,0.12,0.57,2.2,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,2.0
25%,7.476973684210526,0.83,2.6,6.0,0.39,0.85,2.7,0.3,1.1325997441676312,1.5,0.72,1.89,1.42,3.0,0.44,4.5,0.063156370161497,0.14,43.0,41.0,91.0,1.25,0.51,0.46,0.28,0.78,2.1,5.1,0.29,0.5849951626864911,0.39,1.12,0.1684494187722163,0.4519011654404583,0.07,0.19,0.0,0.0,0.12,0.3357966834895458,0.08,0.24,0.04,0.073627625489498,0.45,1.24,0.0,0.0,0.47,1.0599111470113085,0.21,0.5,0.18,0.4436961869618696,2.0
50%,10.0,0.9117363168903608,3.4,8.0,0.42,1.28,3.8,0.3464954335943524,1.68,2.131718458024777,0.79,2.723098104282134,2.0,4.1,0.49,6.565630910564712,0.12,0.27,50.0,47.73099320389661,96.0,1.67,0.54,0.5,0.42,1.06,2.7,7.0,0.47,0.88,0.56,1.53,0.27,0.67,0.1704773561811505,0.4287968441814596,0.0,0.03,0.23,0.6,0.15,0.38,0.11,0.1606897185197281,0.7798707188303777,2.0,0.0,0.03,0.71,1.5,0.36,0.76,0.33,0.7254057484135872,2.0
75%,12.436420722135008,0.99,4.3,10.0,0.4530289002877518,1.75,4.839357429718875,0.3809791657291994,2.4,3.0,0.84,4.0,2.7,5.425705973500301,0.53,9.22285945072698,0.21,0.46,57.0,54.42028985507247,100.0,2.2,0.5820251205970692,0.54,0.59,1.39,3.5,8.511256881808597,0.69,1.23,0.77,2.0,0.41,0.97,0.38,0.91,0.08,0.18,0.4001217500406607,1.0189506232486232,0.25,0.58,0.22,0.32,1.21,3.0,0.03,0.07,1.06,2.2,0.57,1.17,0.53,1.0789859315860888,2.0
max,22.0,1.31,8.0,17.645279427614835,0.58,3.5,9.798991675648406,0.56,6.0,8.0,1.0,10.0,7.0,12.0,0.73,24.0,1.5,3.3,77.0,74.0,115.0,5.0,0.75,0.69,1.7543503734514063,3.7,7.0,15.682374389432889,2.2,3.5,2.3931924882629105,4.049107981220657,1.22,2.7,1.44,3.7,0.9768156488637144,2.4,2.1,4.6,1.17,3.0,1.36,1.73,4.1,8.0,0.36,1.38,3.6,5.8,1.67,3.5,2.1,3.7,2.0
