
Cluster 0:
,points,points per player's possession,field goals made,field goals attempted,"field goals, %",3-pt field goals made,3-pt field goals attempted,"3-pt field goals, %",free throws made,free throws attempted,"free throws, %",assists,2-pt field goals made,2-pt field goals attempted,"2-pt field goals, %",points off assists,screen assist,points off screen assists,number of player's possessions,team points with player,offensive rating,assists to turnovers,true shooting percentage,effective field goal percentage,uncontested field goals made,uncontested field goals,contested field goals made,contested field goals,transitions made,transitions attempted,catch and shoot made,catch and shoot attempted,catch and drive made,catch and drive attempted,screens off made,screens off attempted,posts up made,posts up attempted,isolations made,isolations attempted,hand off made,hand off attempted,cuts made,cuts attempted,pnr handlers made,pnr handlers attempted,pnp made,pnp attempted,drives made,drives with shot,right drives made,right drives,left drives made,left drives,cluster
,points,points per player's possession,field goals made,field goals attempted,"field goals, %",3-pt field goals made,3-pt field goals attempted,"3-pt field goals, %",free throws made,free throws attempted,"free throws, %",assists,2-pt field goals made,2-pt field goals attempted,"2-pt field goals, %",points off assists,screen assist,points off screen assists,number of player's possessions,team points with player,offensive rating,assists to turnovers,true shooting percentage,effective field goal percentage,uncontested field goals made,uncontested field goals,contested field goals made,contested field goals,transitions made,transitions attempted,catch and shoot made,catch and shoot attempted,catch and drive made,catch and drive attempted,screens off made,screens off attempted,posts up made,posts up attempted,isolations made,isolations attempted,hand off made,hand off attempted,cuts made,cuts attempted,pnr handlers made,pnr handlers attempted,pnp made,pnp attempted,drives made,drives with shot,right drives made,right drives,left drives made,left drives,cluster
count,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0
mean,10.22949745910708,0.8832686268449821,3.494345015732678,8.315187963860346,0.41522165282339313,1.3179309569805688,3.8215473581604544,0.33661081250949404,1.9215860256520578,2.454469598122512,0.773951976933702,3.751955710743662,2.178990274753474,4.488981620679235,0.47849588434017193,8.86963794441255,0.14101078525736366,0.31445326765164433,50.08511157968165,47.79327375263159,95.36541227659151,1.9932433479093312,0.5376852878219128,0.49373172941636506,0.4720368031045233,1.1583928506701056,2.817154279638759,6.942674472254435,0.48944282225465113,0.9025477870579661,0.529446010931837,1.4117819456111211,0.26638986302819545,0.6604339600822425,0.20067744878940624,0.49276747017300615,0.047370428904773325,0.10875486296333857,0.3617188065664108,0.9149417355895995,0.18129425102300206,0.4662537729324171,0.12129327566559679,0.18085120410528122,1.1340614774031663,2.770368231747484,0.011376078595141333,0.030831897332764088,0.9098087957243214,1.8777420026630254,0.48084938863853705,0.9769676152367077,0.42877400635628815,0.8995923633728891,1.0
std,3.847552837534831,0.12140967295222323,1.3156450630678382,2.7514241460445943,0.05356776273991098,0.6405239984924703,1.5677718176547333,0.06618270490920708,1.0517281540671777,1.2731014255775903,0.09756521451718735,1.3438633863009612,1.0619431083509168,1.9900990059369197,0.06962557803539705,3.1843438335074152,0.14244190580832122,0.3293313203251541,9.665175863750049,9.863807605067683,6.301264727486929,0.6510324942721368,0.06208999622358727,0.06377822443267316,0.24521432238360974,0.4871418104423271,1.1657702504625924,2.5439276246938847,0.31420518131293945,0.5152243346379658,0.25605044819791084,0.5379162745160223,0.18050951512361452,0.3435664342034654,0.23022629798290672,0.5212529458069282,0.12103652911144012,0.2544848824465658,0.31352040373901047,0.701010905167359,0.13764387219807456,0.2952346716277226,0.13328127598292522,0.18680630243817825,0.5654092946913281,1.177985312055976,0.026737378135173462,0.052449732277067465,0.5219922012028895,0.9530914954701861,0.3109967163234117,0.5515520778635782,0.3147164612566515,0.5760635599923338,0.0
min,2.1828098968487457,0.4802195436934997,0.74,2.3155099074828964,0.24999999999999953,0.0,0.5299999999999989,0.0,0.06056999042926482,0.1499999999999986,0.36284066330209086,1.2599999999999996,0.21999999999999928,0.8299999999999984,0.18999999999999911,2.9999999999999996,0.0,0.0,24.324214792299898,21.94834266035299,75.7708674304419,0.5699999999999995,0.32253551442100686,0.0,0.0,0.18,0.5642358688066986,1.803799936195101,0.0,0.0,0.0,0.15999999999999773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999928,0.0,0.0,0.0,0.0,1.0
25%,7.0,0.809999999999998,2.5,6.0,0.37999999999999934,0.8099999999999992,2.599999999999999,0.2999534302589706,1.1699999999999986,1.5299999999999996,0.7199999999999991,2.6999999999999993,1.4074316331078067,2.9999999999999987,0.43114197583585606,6.1011149258072255,0.059999999999998915,0.12999999999999962,43.058126764982745,41.0,91.0,1.52,0.49999999999999895,0.4599999999999979,0.29231845345889146,0.8137371428571418,1.9898813025210074,5.0,0.2599999999999999,0.5199999999999989,0.3499999999999992,0.9999999999999999,0.12999999999999945,0.4012037389239766,0.049999999999998365,0.14340648551109172,0.0,0.0,0.14895679600206035,0.4099999999999993,0.0799999999999997,0.2599999999999977,0.02999999999999897,0.05773374413997439,0.729999999999999,1.9099999999999993,0.0,0.0,0.5216666666666661,1.1999999999999982,0.23999999999999921,0.5699999999999996,0.19999999999999973,0.4999999999999983,1.0
50%,9.999999999999998,0.8899999999999995,3.3999999999999986,8.0,0.4199703664228135,1.2499999999999987,3.6999999999999984,0.3399999999999995,1.7299999999999995,2.2753936441766234,0.7899999999999978,3.5506582258182044,2.0,4.233357242657221,0.47999999999999987,8.000000000000002,0.11543506672604295,0.2499999999999986,50.0,48.0,96.0,1.9399999999999995,0.5399999999999985,0.4994008121477065,0.42999999999999994,1.0899999999999994,2.6999999999999997,6.999999999999998,0.4099999999999997,0.8099999999999984,0.4999999999999993,1.3299999999999996,0.23053724522371524,0.5830516185100026,0.1199999999999989,0.3099999999999994,0.0,0.0,0.26999999999999935,0.7249999999999985,0.1566553453566153,0.409999999999998,0.08212586516983517,0.11999999999999932,1.0599999999999992,2.6000000000000005,0.0,0.0,0.8299999999999977,1.75,0.4293984220907284,0.8899999999999989,0.34999999999999987,0.7899999999999991,1.0
75%,12.999999999999998,0.9699999999999984,4.3999999999999995,10.0,0.44999999999999923,1.7199999999999989,4.799999999999999,0.37999999999999945,2.4999999999999987,3.099999999999999,0.8399999999999993,4.599999999999999,2.7999999999999985,5.6,0.5285772215541618,10.999999999999998,0.18999999999999898,0.421760747522482,57.0,54.99999999999999,100.0,2.3999999999999986,0.5799999999999988,0.5399999999999976,0.599999999999998,1.4199999999999986,3.5881835351293483,8.999999999999998,0.6637142964232816,1.1910177705977376,0.6799999999999975,1.7399999999999982,0.35999999999999827,0.8599999999999993,0.26604041143271745,0.6599999999999979,0.039999999999998904,0.0999999999999984,0.4999999999999975,1.2299999999999986,0.2599999999999982,0.6199999999999987,0.1699999999999993,0.2499999999999993,1.4384942322481402,3.482507796112424,0.0,0.04570831244807657,1.1939090896479003,2.3999999999999986,0.6399999999999997,1.3099999999999985,0.5799999999999996,1.1699999999999977,1.0
max,22.0,1.2299999999999982,7.999999999999998,17.645279427614835,0.59,3.499999999999998,9.798991675648404,0.6,5.999999999999998,7.999999999999999,0.9999999999999997,9.999999999999998,6.999999999999999,12.0,0.7299999999999996,24.0,2.2999999999999985,4.899999999999998,81.0,74.0,115.0,4.999999999999997,0.7099999999999982,0.65,1.7543503734514034,3.699999999999998,6.999999999999998,15.682374389432889,1.9200000000000002,3.1999999999999984,1.5729216152018992,3.3,1.2199999999999998,2.2999999999999994,1.3799999999999983,3.2,1.2199999999999973,2.8999999999999986,2.0999999999999983,4.6,0.8299999999999983,1.9999999999999984,1.0032082908118378,1.35683553110078,4.1,7.999999999999999,0.23999999999999796,0.44,3.5999999999999988,5.799999999999998,1.669999999999999,3.4999999999999982,2.0999999999999988,3.6999999999999984,1.0

Cluster 2:
,points,points per player's possession,field goals made,field goals attempted,"field goals, %",3-pt field goals made,3-pt field goals attempted,"3-pt field goals, %",free throws made,free throws attempted,"free throws, %",assists,2-pt field goals made,2-pt field goals attempted,"2-pt field goals, %",points off assists,screen assist,points off screen assists,number of player's possessions,team points with player,offensive rating,assists to turnovers,true shooting percentage,effective field goal percentage,uncontested field goals made,uncontested field goals,contested field goals made,contested field goals,transitions made,transitions attempted,catch and shoot made,catch and shoot attempted,catch and drive made,catch and drive attempted,screens off made,screens off attempted,posts up made,posts up attempted,isolations made,isolations attempted,hand off made,hand off attempted,cuts made,cuts attempted,pnr handlers made,pnr handlers attempted,pnp made,pnp attempted,drives made,drives with shot,right drives made,right drives,left drives made,left drives,cluster
count,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0,1264.0
mean,8.662970609491703,0.9458080158858874,3.0498482241411904,6.973807146992518,0.4346918550858834,1.1260281444424027,3.2608104608449784,0.3328034440766431,1.4421963586167856,1.9265900731676904,0.742962022942674,1.4318027988034037,1.923141691828944,3.7090186012895785,0.5108744094819515,3.4000602827991244,0.42021848509874754,0.9633002363826236,47.313825460664916,44.60816820631191,94.1318920111334,1.27144996679812,0.5482248016621903,0.5123160912729562,0.372561707846889,0.9494381046128002,2.4911684386397766,5.833873162466938,0.4776606616458017,0.836283723825147,0.7032447655718522,1.93346982240276,0.29504578930216885,0.7248659983440201,0.26197593563157584,0.6561551903619074,0.18548107222062007,0.4259794296309427,0.1145626910282212,0.3073876113222796,0.0856953770862418,0.22914896137918953,0.30539844145852507,0.4544403497630907,0.20124662854760114,0.5547807532348672,0.058829363508902895,0.17022580250605995,0.4128472032162987,0.8976502581765098,0.2078464076567748,0.44945363503581576,0.2050383816162045,0.44738743996642105,2.0
std,3.1321559193080866,0.1335195047983193,1.0990920742250936,2.26833980890831,0.06282409179389288,0.6223706975478833,1.5218398482570026,0.0781451160741017,0.8221071748635884,1.0422720362031501,0.11967248136800707,0.6469246076576478,0.9855116793907912,1.7368099295227524,0.07933202143627639,1.5169290920397793,0.45130112139659345,1.0412649146318382,8.967933222377285,9.192628359235224,6.62909579757029,0.6206960630742134,0.06978189861992287,0.07586072069629336,0.23648577322226363,0.4582451954929871,0.9871130782469806,2.0973027807347706,0.28414290132766035,0.44741792270860425,0.32786420817071527,0.7008341576175763,0.19787854851123213,0.39806992112499107,0.2636238785559984,0.6287821587059833,0.2612034724445638,0.5492151497130847,0.15249045997308333,0.3626642545533855,0.11074482820868617,0.25795074510177496,0.2577865136610503,0.3618577281902074,0.24572340260503692,0.6232755606411808,0.07832710047482655,0.1992517332122781,0.31205005213879544,0.6063249781184065,0.18630154167525567,0.35142252896462606,0.19015840487173571,0.36003752790053106,0.0
