
Cluster 0:
,points,points per player's possession,field goals made,field goals attempted,"field goals, %",3-pt field goals made,3-pt field goals attempted,"3-pt field goals, %",free throws made,free throws attempted,"free throws, %",assists,2-pt field goals made,2-pt field goals attempted,"2-pt field goals, %",points off assists,screen assist,points off screen assists,number of player's possessions,team points with player,offensive rating,assists to turnovers,true shooting percentage,effective field goal percentage,uncontested field goals made,uncontested field goals,contested field goals made,contested field goals,opponent's field goals made,opponent's field goals attempted,transitions made,transitions attempted,catch and shoot made,catch and shoot attempted,catch and drive made,catch and drive attempted,screens off made,screens off attempted,posts up made,posts up attempted,isolations made,isolations attempted,hand off made,hand off attempted,cuts made,cuts attempted,pnr handlers made,pnr handlers attempted,pnp made,pnp attempted,right drives made,right drives,left drives made,left drives,cluster

Cluster 3:
,points,points per player's possession,field goals made,field goals attempted,"field goals, %",3-pt field goals made,3-pt field goals attempted,"3-pt field goals, %",free throws made,free throws attempted,"free throws, %",assists,2-pt field goals made,2-pt field goals attempted,"2-pt field goals, %",points off assists,screen assist,points off screen assists,number of player's possessions,team points with player,offensive rating,assists to turnovers,true shooting percentage,effective field goal percentage,uncontested field goals made,uncontested field goals,contested field goals made,contested field goals,opponent's field goals made,opponent's field goals attempted,transitions made,transitions attempted,catch and shoot made,catch and shoot attempted,catch and drive made,catch and drive attempted,screens off made,screens off attempted,posts up made,posts up attempted,isolations made,isolations attempted,hand off made,hand off attempted,cuts made,cuts attempted,pnr handlers made,pnr handlers attempted,pnp made,pnp attempted,right drives made,right drives,left drives made,left drives,cluster
count,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0,770.0
mean,8.345490669352493,1.0016124279572873,3.281041161045355,5.9050645269831215,0.5576333625560219,0.1805536783233564,0.5790452155479009,0.1661902258844239,1.6065566575680255,2.4256198868873184,0.652432357854922,1.056815133033077,3.101687160918328,5.3255278895404405,0.5812306724965824,2.5826330412762117,2.27218651752257,5.2412714157954134,40.54680103493031,38.529232786185034,95.0157944777522,0.8499401163447586,0.5960805063863176,0.273990342838488,0.13491817658932126,0.36469471777545254,2.8523716674647606,5.251883291516957,3.2409639476397554,6.787159586352854,0.26875592454775543,0.3700663831105432,0.20630875623819359,0.5860024572547886,0.09265795514644087,0.21612405716722216,0.05432514414681797,0.10346463866554112,0.5616640615860977,1.178528235135823,0.034150037763655175,0.08466269132465869,0.006483259885875382,0.015014753842770973,0.610261421598206,0.9038578878916718,0.010821229248410306,0.021947986146383252,0.16527915033275403,0.40961917618656946,0.07923056118508837,0.1577984924257539,0.07908069254576942,0.15517524879535097,3.0
std,3.1882723129328996,0.11877914952231824,1.2193764128294238,2.1952541845336273,0.07412404975685791,0.2970634392851545,0.8378958796597697,0.1977139967819595,0.8756746948269782,1.1672740243576443,0.12213219981118167,0.682021759178536,1.1806619218410015,1.988489908193374,0.06833571022070604,1.6274074977485204,0.8944380719167803,2.0558721275510328,10.061047694926447,9.89676361696168,6.5767772522509285,0.4625224483435095,0.062417316381943574,0.2787663680376852,0.14800285584599376,0.34745002471832764,1.0754373174432301,1.937241226696392,0.9453513261818056,1.8839135640966362,0.21199850040935467,0.28069844082018086,0.21639700482294774,0.5492950149545189,0.1134658355622696,0.236141789094626,0.0746316965963382,0.12538412569512497,0.45062391831889337,0.8498755405280147,0.06574646424641384,0.13766581969994732,0.020151828666210694,0.03262666764375964,0.2776090240464315,0.37449930203091947,0.02665936868245414,0.04530633912163327,0.20410129019404497,0.4576904881599696,0.0998681644205351,0.18171217837161185,0.11280085286466617,0.19650696082918653,0.0
min,1.1299999999999997,0.5099999999999998,0.5699999999999995,1.3299999999999996,0.36,0.0,0.0,0.0,0.0,0.22999999999999926,0.0,0.05999999999999857,0.5699999999999995,1.3299999999999996,0.36999999999999933,0.11999999999999866,0.04999999999999906,0.09999999999999944,11.733083789231213,10.644111718974951,73.0,0.0699999999999996,0.3699999999999991,0.0,0.0,0.0,0.5299999999999994,1.2099999999999995,0.9058710048949032,1.6426317304923699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11999999999999955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
25%,5.977837649921779,0.9299999999999982,2.328680493466262,4.299999999999999,0.5099999999999995,0.0,0.0,0.0,0.9625095521120773,1.6099999999999994,0.5799999999999994,0.5682617605454996,2.199999999999999,3.799999999999999,0.5399999999999989,1.4199999999999993,1.6579658616306503,3.8,33.0,31.000000000000004,90.99999999999999,0.4999999999999995,0.5575389408099676,0.0,0.02999999999999806,0.09074056126405801,2.08380191707786,3.8,2.5791312109084163,5.426142928945168,0.11999999999999944,0.17999999999999935,0.03646904258372361,0.15003539747526412,0.0,0.04999999999999982,0.0,0.0,0.1999999999999997,0.4999999999999995,0.0,0.0,0.0,0.0,0.41999999999999765,0.6336294021685523,0.0,0.0,0.022815893209553847,0.08999999999999794,0.0,0.03954729076850289,0.0,0.02999999999999923,3.0
50%,7.999999999999999,1.0061909629694747,3.199999999999999,5.7,0.5563585313808761,0.01999999999999843,0.13242030696576035,0.041209095951191585,1.39,2.199999999999999,0.6610274684484037,0.9119179613278193,2.925357372108488,5.1,0.5799999999999987,2.2060817146684526,2.299999999999998,5.249444562896357,40.97183760529265,38.99999999999999,95.77737786563543,0.7799999999999983,0.5978154283059869,0.13119465799577426,0.08999999999999925,0.25999999999999956,2.735869492917387,5.099999999999999,3.1999999999999984,6.999999999999998,0.21848922973938417,0.2999999999999995,0.149999999999999,0.41999999999999915,0.05999999999999854,0.1381247071544403,0.029999999999999395,0.05999999999999973,0.4349999999999994,0.9779641932132447,0.0,0.03999999999999861,0.0,0.0,0.5799999999999997,0.8699999999999998,0.0,0.0,0.08999999999999872,0.2399999999999981,0.04999999999999897,0.09999999999999915,0.04390417520799855,0.08999999999999947,3.0
75%,10.154615054874004,1.079999999999998,4.1,7.0,0.6099999999999987,0.2697208858072718,0.9274999999999989,0.31057467568262703,2.0999999999999996,3.099999999999999,0.7399999999999987,1.3799999999999994,3.919552153271021,6.682197930286616,0.629999999999998,3.3999999999999986,2.7999999999999994,6.390412060810819,47.99999999999999,45.00000000000001,99.31387461480755,1.0795518453427042,0.6399999999999982,0.5499999999999997,0.1999999999999988,0.5512469930663642,3.599999999999999,6.489411409097878,3.8999999999999986,7.999999999999999,0.3599999999999992,0.4997071005917141,0.31975983358547544,0.8980209742895785,0.13535549136003933,0.3099999999999984,0.07999999999999945,0.14999999999999875,0.8215475761398436,1.6939601070299184,0.03999999999999948,0.10999999999999861,0.0,0.027438772262363777,0.7798066298342525,1.1274999999999982,0.0,0.02999999999999947,0.24309605643994153,0.5697886662492165,0.10969959250842201,0.20999999999999985,0.09999999999999987,0.19999999999999932,3.0
max,21.0,1.3799999999999986,7.0,14.999999999999998,0.789999999999999,1.801151633884492,4.499999999999997,1.0,5.5,8.0,0.9399999999999988,5.2,7.0,12.0,0.789999999999999,12.0,5.3999999999999995,12.0,74.0,68.0,118.0,2.9,0.7699999999999997,0.7099999999999979,0.769999999999998,2.0999999999999996,6.999999999999997,13.999999999999998,7.0,13.999999999999998,1.7499999999999993,2.2999999999999985,1.4499999999999975,2.699999999999998,0.7499999999999998,1.5299999999999985,0.5499999999999978,0.8199999999999978,2.1999999999999997,4.599999999999998,0.4999999999999999,1.2499999999999998,0.17999999999999852,0.35999999999999904,1.8154501969611705,2.2999999999999985,0.28999999999999815,0.4999999999999999,1.4699999999999978,2.6999999999999993,0.5799999999999991,1.4999999999999984,0.9999999999999998,1.5799999999999976,3.0
