
Cluster 0:
,points,points per player's possession,field goals made,field goals attempted,"field goals, %",3-pt field goals made,3-pt field goals attempted,"3-pt field goals, %",free throws made,free throws attempted,"free throws, %",assists,2-pt field goals made,2-pt field goals attempted,"2-pt field goals, %",points off assists,screen assist,points off screen assists,number of player's possessions,team points with player,offensive rating,assists to turnovers,true shooting percentage,effective field goal percentage,uncontested field goals made,uncontested field goals,contested field goals made,contested field goals,opponent's field goals made,opponent's field goals attempted,transitions made,transitions attempted,catch and shoot made,catch and shoot attempted,catch and drive made,catch and drive attempted,screens off made,screens off attempted,posts up made,posts up attempted,isolations made,isolations attempted,hand off made,hand off attempted,cuts made,cuts attempted,pnr handlers made,pnr handlers attempted,pnp made,pnp attempted,right drives made,right drives,left drives made,left drives,cluster
Cluster 2:
,points,points per player's possession,field goals made,field goals attempted,"field goals, %",3-pt field goals made,3-pt field goals attempted,"3-pt field goals, %",free throws made,free throws attempted,"free throws, %",assists,2-pt field goals made,2-pt field goals attempted,"2-pt field goals, %",points off assists,screen assist,points off screen assists,number of player's possessions,team points with player,offensive rating,assists to turnovers,true shooting percentage,effective field goal percentage,uncontested field goals made,uncontested field goals,contested field goals made,contested field goals,opponent's field goals made,opponent's field goals attempted,transitions made,transitions attempted,catch and shoot made,catch and shoot attempted,catch and drive made,catch and drive attempted,screens off made,screens off attempted,posts up made,posts up attempted,isolations made,isolations attempted,hand off made,hand off attempted,cuts made,cuts attempted,pnr handlers made,pnr handlers attempted,pnp made,pnp attempted,right drives made,right drives,left drives made,left drives,cluster
count,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0,926.0
mean,5.115841430964479,0.8897549134657453,1.774535998547331,4.2536808260329275,0.4148063166903999,0.7633480158994403,2.2544121194722804,0.3299837893763154,0.8106447630294967,1.0910825787081282,0.7307943699456364,1.616059767262141,1.0106617951893186,2.0070741046840332,0.4973717932985327,3.8709295288936736,0.3060126149186531,0.7115234888744604,36.969442530733296,34.91426602728829,94.34135001758713,1.6699774838131072,0.5326668224950787,0.502620346109785,0.30496752508482095,0.7858404594307965,1.3736884589740967,3.3705293694089535,2.295696915047945,5.214185160587969,0.24565975106843935,0.4486519060108489,0.5111576262793232,1.4262910082020999,0.14604455406597203,0.38729374819496937,0.09868081453146875,0.24415090808861836,0.06602826286589888,0.15330553960751675,0.0571625681832762,0.1640695968338617,0.04475123637203755,0.12974364113417974,0.16660351123961425,0.24909939949673993,0.21647297336303725,0.5768322555996636,0.038070925193309485,0.10769288238285793,0.13419920545797692,0.29656338800154675,0.11295313418184368,0.263495227168229,2.0
std,1.7031699863227947,0.1605519756573001,0.5940404952382268,1.2080659599707522,0.067257255797304,0.3993326375498819,0.9592499280862854,0.07731445293739932,0.4693700750504312,0.5961506208645255,0.14071381369516178,1.2495875096898317,0.4997567520927052,0.8746177364321499,0.0957491893907362,2.9730721493854944,0.39107475251879587,0.9042056529529375,9.790505024651155,9.684489574462827,6.68052804023634,0.8545868644222271,0.08251033904207078,0.07872787992053955,0.1831019643108041,0.37622576633334665,0.4990234876443062,1.0208396377045168,0.7218537740272876,1.5439364888219667,0.15128310890474597,0.23721921798717915,0.26445272219679994,0.5863088849717834,0.106235480345165,0.2118323831618516,0.10893392574734785,0.2473731069817911,0.11995549847715253,0.24747065879974453,0.07446846144156866,0.17560265191680924,0.060209483879636365,0.13503281914774554,0.16194911552319655,0.2300951812103209,0.287639509509937,0.7156434944574145,0.07793756006414776,0.19948964737632474,0.12919499876147764,0.24855608015707803,0.11368708123286964,0.2222664675468858,0.0
min,1.0999999999999996,0.0,0.3243844417433578,1.2399999999999995,0.19999999999999993,0.0,0.22999999999999962,0.0,0.0,0.0,0.0,0.10999999999999954,0.06047058823529325,0.22041176470588225,0.17999999999999944,0.25999999999999945,0.0,0.0,13.240099135096859,11.986798846795814,71.0,0.19999999999999904,0.0,0.0,0.0,0.07999999999999775,0.21999999999999978,0.5499999999999996,0.7515747260148161,1.7619684075185205,0.0,0.0,0.0,0.13999999999999876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
25%,3.9,0.7905559292816746,1.3332487791644059,3.399999999999999,0.3699999999999999,0.47999999999999954,1.5399999999999987,0.2799999999999999,0.46249999999999947,0.669999999999999,0.6599999999999997,0.7399999999999997,0.6224999999999992,1.3405038838920684,0.4399999999999991,1.7699999999999987,0.059999999999999984,0.14999999999999908,30.000000000000004,28.0,89.79044755021914,1.0599999999999992,0.48999999999999866,0.45999999999999774,0.1699999999999995,0.4999999999999997,0.9999999999999998,2.651377675597037,1.7999999999999994,4.111964973607522,0.13999999999999868,0.2799999999999999,0.31999999999999945,0.9999999999999991,0.059999999999999915,0.2399999999999987,0.029999999999998757,0.08999999999999922,0.0,0.0,0.0,0.03,0.0,0.029999999999998382,0.03999999999999933,0.06999999999999944,0.0,0.029999999999999617,0.0,0.0,0.03999999999999937,0.11507749630249854,0.0299999999999996,0.09999999999999969,2.0
50%,5.1,0.8999999999999985,1.78,4.299999999999997,0.40999999999999964,0.7099999999999993,2.199999999999999,0.33580516413908945,0.7399999999999993,0.9999999999999998,0.7414731005857178,1.1699999999999988,0.9499999999999995,1.9398727980418116,0.4999999999999982,2.7999999999999994,0.14999999999999858,0.34577381543985863,37.0,34.01791026652906,94.9879419339733,1.5199999999999996,0.53,0.49999999999999956,0.27999999999999836,0.7299999999999986,1.3499999999999992,3.399999999999999,2.1999999999999993,5.099999999999999,0.22550506773387843,0.416433585764428,0.4799999999999999,1.3499999999999994,0.12999999999999917,0.35999999999999854,0.06999999999999934,0.1699999999999999,0.0,0.039999999999999404,0.029999999999999576,0.0999999999999997,0.029999999999998524,0.08999999999999916,0.11999999999999902,0.17999999999999933,0.07999999999999992,0.23999999999999924,0.0,0.029999999999999576,0.09999999999999953,0.2299999999999996,0.07999999999999927,0.19999999999999865,2.0
75%,6.0,0.9930627973761776,2.199999999999999,5.199999999999998,0.4599999999999994,0.9999999999999991,2.8999999999999986,0.3799999999999994,1.0599999999999983,1.4092447045707903,0.8199999999999994,2.199999999999999,1.319999999999999,2.662797328867705,0.5642718560761942,5.182942857142857,0.3666358038979662,0.8499999999999991,43.0,41.0,99.0,2.1,0.5883145410014304,0.559123537508601,0.4067417052448592,1.0299999999999991,1.709999999999999,4.1,2.6999999999999997,5.999999999999999,0.323046289008249,0.5799999999999985,0.6571378871219447,1.7798803191489347,0.20999999999999963,0.5199999999999998,0.12999999999999948,0.30999999999999917,0.07999999999999968,0.19997586935680497,0.0899999999999989,0.23999999999999885,0.06999999999999958,0.19999999999999912,0.2599999999999994,0.37749999999999795,0.34999999999999964,0.932951263537905,0.042705732362740514,0.11070410074937477,0.18877677393157882,0.41999999999999793,0.16451013738050335,0.36999999999999933,2.0
max,12.0,1.3699999999999992,3.5999999999999974,7.999999999999999,0.6499999999999988,2.3999999999999972,5.6,0.5599999999999982,3.299999999999998,4.399999999999998,1.0,6.999999999999999,2.9000000000000004,4.999999999999998,0.7599999999999987,17.0,2.6999999999999997,6.0,70.0,67.0,115.0,9.0,0.7699999999999999,0.74,1.1099999999999988,2.299999999999998,2.999999999999998,6.999999999999999,4.8999999999999995,10.0,0.9399999999999982,1.4099999999999988,1.6699999999999984,3.6250523431643695,0.5799999999999996,1.199999999999999,0.85,1.6799999999999988,0.9999999999999999,1.5899999999999992,0.6699999999999984,1.0000000000000002,0.39999999999999875,0.8999999999999985,0.8199999999999996,1.4999999999999987,1.639999999999998,3.3,0.8499999999999989,1.9999999999999984,0.8099999999999983,1.739999999999999,0.7999999999999979,1.2999999999999998,2.0
