
Cluster 0:
,points,points per player's possession,field goals made,field goals attempted,"field goals, %",3-pt field goals made,3-pt field goals attempted,"3-pt field goals, %",free throws made,free throws attempted,"free throws, %",assists,2-pt field goals made,2-pt field goals attempted,"2-pt field goals, %",points off assists,screen assist,points off screen assists,number of player's possessions,team points with player,offensive rating,assists to turnovers,true shooting percentage,effective field goal percentage,uncontested field goals made,uncontested field goals,contested field goals made,contested field goals,transitions made,transitions attempted,catch and shoot made,catch and shoot attempted,catch and drive made,catch and drive attempted,screens off made,screens off attempted,posts up made,posts up attempted,isolations made,isolations attempted,hand off made,hand off attempted,cuts made,cuts attempted,pnr handlers made,pnr handlers attempted,pnp made,pnp attempted,drives made,drives with shot,right drives made,right drives,left drives made,left drives,cluster
,points,points per player's possession,field goals made,field goals attempted,"field goals, %",3-pt field goals made,3-pt field goals attempted,"3-pt field goals, %",free throws made,free throws attempted,"free throws, %",assists,2-pt field goals made,2-pt field goals attempted,"2-pt field goals, %",points off assists,screen assist,points off screen assists,number of player's possessions,team points with player,offensive rating,assists to turnovers,true shooting percentage,effective field goal percentage,uncontested field goals made,uncontested field goals,contested field goals made,contested field goals,transitions made,transitions attempted,catch and shoot made,catch and shoot attempted,catch and drive made,catch and drive attempted,screens off made,screens off attempted,posts up made,posts up attempted,isolations made,isolations attempted,hand off made,hand off attempted,cuts made,cuts attempted,pnr handlers made,pnr handlers attempted,pnp made,pnp attempted,drives made,drives with shot,right drives made,right drives,left drives made,left drives,cluster
count,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0,779.0
mean,4.122385240474259,21.112783869316594,1.4931511527616803,3.215116642839207,0.2095336888434456,0.45774243253524466,1.3062049649449152,0.15272410177547427,0.67661084375346,0.9193672247870232,0.3308733598586456,0.5993020215673202,1.035744360403787,1.9124469819836132,0.244083893592936,1.430664913576996,0.22842362656208628,0.23724345013584844,21.384129338925394,20.40126517101063,2040.8011361309225,0.5272089281699381,12.155913969807607,0.24144970181044706,0.16463088887111385,0.4160976272409993,1.230613674573838,2.7012055562204447,0.19770119037017977,0.3232090319310191,0.32212305935836427,0.8799708719544491,0.1319493183887023,0.3126100019273185,0.06557828941539866,0.06933327173552041,0.3057648430609675,0.32401079630415347,-0.13871388356515732,-0.14363233938549613,-0.21102995826282203,-0.21263292468697573,0.2337973178347895,0.24233458037991065,-0.32420657737163344,-0.3320809751507007,0.39201710437563864,0.41887774130151184,-0.06536893516396164,-0.0701796414383329,-0.0761375282926407,-0.08127766108683009,-0.052324749187019855,-0.06272866262881929,1.0
std,1.3149445125242476,5.883996819829714,0.4845442302174077,0.9808264567940655,0.07147474117089268,0.25654512513195005,0.6382440122882862,0.05991632352604859,0.35466206118734667,0.46172222579540123,0.11522852430877674,0.31322691448331247,0.4705263891988252,0.8330503172944902,0.08523997049090272,0.7361563631300833,0.3509512188974164,0.33912586106636855,5.404767532621372,5.283359238449764,528.2007794261837,0.2870566480354786,3.340081987499892,0.08091295120132456,0.10272295507246919,0.21107737898458165,0.4193384251879498,0.8591192234887409,0.11658600057025206,0.17182221746684684,0.16289230103874178,0.3716338337412589,0.08611893488332546,0.16867153037130833,0.4108713128694634,0.393875751569858,0.39566390823812686,0.3685637460335827,0.34186554337049013,0.327641290272252,0.3427641652337222,0.3360933009077218,0.34776258890919154,0.3263807313281306,0.22695440450036314,0.23247972770688774,0.464707768804292,0.4321461060192654,0.3165018034007545,0.29061141587981565,0.35874541791542935,0.33788453796390705,0.3609371696020708,0.33513768996940085,0.0
min,1.2846153846153836,7.645333333333332,0.5045098039215679,1.135849056603773,0.050985074626865586,0.0,0.0,0.0,0.0,0.056454022988504826,0.0,0.10316901911106126,0.13716350431366744,0.2853014736624173,0.06555223880597004,0.2658777018598481,-0.9810222174161877,-1.053591465699655,7.2438095238095235,6.897782274745044,695.0891914277505,0.06248299319727826,4.310666666666666,0.05948258706467583,0.0,0.0,0.31221857952682786,0.8623725589378195,0.0,0.0,0.0,0.019269230769230428,0.0,0.0,-1.0964523963968926,-0.9997693690154841,-0.7395719256041655,-0.8174400541137596,-1.1047617524422504,-1.317869260650152,-1.0213186836573864,-1.133372105622706,-1.3528492482166514,-0.8545607972360642,-1.0117146604089855,-1.0836688860869528,-0.7234771957420196,-0.8092748142864093,-1.3459697973502913,-1.4924517019931518,-1.4585011156431629,-1.637101054664736,-1.2468540963061248,-1.3144010433846898,1.0
25%,3.18737032518702,16.709333333333333,1.1366374269005841,2.5119183285849944,0.15767115384615343,0.27420290556900584,0.8315834675254953,0.11214693952967116,0.4251861038112348,0.6081964285714283,0.2465018939393931,0.38945449959644796,0.6960114147353855,1.3170598453795042,0.18181236722757493,0.9291288143489391,-0.0036293679778026137,0.03220087883149595,17.4,16.55062451209992,1656.6833333333334,0.3149999999999993,9.631833333333333,0.18379861111110996,0.08917330039286991,0.2596430032733217,0.9083333333333323,2.070261555815697,0.11299215858172537,0.19994668615984268,0.2038876262863649,0.600287021857922,0.07395382925298097,0.1872344594594588,-0.1937657924849222,-0.20260416304611356,0.032295753894896834,0.10623220997357252,-0.3901381637203698,-0.376184704935406,-0.4724842108468004,-0.4454186451562946,0.024933913074236258,0.026272182878572296,-0.47526900910289854,-0.4833190476922945,0.09071776866605422,0.13801486160477813,-0.25478737037234,-0.24173645232604474,-0.3061255266834446,-0.3035097801983665,-0.29101250319534944,-0.2838686369905145,1.0
50%,4.0161796736874775,21.164666666666665,1.4564,3.15,0.20231578947368387,0.426994949494949,1.2589904201739865,0.14578260869565066,0.6120833333333333,0.8296607972548175,0.32407719359324033,0.5362631578947352,0.9548512438825448,1.7706,0.23384042553191417,1.2860069444444437,0.27092910349611754,0.27941599708571674,21.683333333333334,20.575757575757578,2058.866666666667,0.46374808072524937,12.301333333333334,0.23349999999999768,0.14618181818181672,0.3827983732597518,1.1991304347826066,2.633578431372548,0.17631420765027128,0.2940512820512813,0.2994078947368414,0.8523958333333331,0.11746666666666668,0.2885776312590517,0.06419238188693743,0.062462979626763226,0.33969769733702654,0.35412446629500705,-0.1575384541775302,-0.14020290408171948,-0.2789013318655653,-0.2421411831326967,0.2456800571118411,0.2523337874233702,-0.34232242666662327,-0.3442892311267457,0.4710837889701191,0.48781404443393744,-0.034363302178781356,-0.04539494397283377,-0.0646171270528418,-0.07261868429808988,-0.026032095488033254,-0.05349996779755822,1.0
75%,4.9660416666666665,25.378019579130054,1.782794962812709,3.8136607142857137,0.25354640611806817,0.6154337774294661,1.7238288288288275,0.1889674479166656,0.8656526893560497,1.1404651162790695,0.3995195611577949,0.7251663943804787,1.2850545634920625,2.313834745762712,0.2974731057245026,1.7608375591615952,0.4558978480697383,0.4547475452693486,25.525,24.212627968877968,2419.5499999999997,0.6762126063004994,14.50452273732562,0.29044382591093004,0.21766442137721675,0.5331135430916535,1.4811526936309447,3.229139869319627,0.259431419457734,0.4213534057971007,0.4082876830318679,1.12122621381529,0.17568691136725312,0.4090668032786873,0.3457301420328483,0.3498149590488899,0.5754899509879376,0.5841865425591748,0.11062952292201933,0.06945700560349811,0.03817256404442364,0.01914674836989283,0.46025113096148174,0.47035412572823115,-0.20608636292961208,-0.2098231472448786,0.7257887324436,0.7276050401772551,0.1490191397312275,0.12763644946645833,0.1596891194576747,0.16081721438803476,0.19298988300181588,0.1677395603935523,1.0
max,8.285333333333334,42.08333333333333,3.0672727272727256,7.005555555555554,0.44646190476190345,1.6514367816091955,3.6527272727272706,0.38645161290322544,2.33142857142857,3.0500000000000003,0.7439193548387081,2.6861217948717924,2.8622023809523798,5.486394557823129,0.5301190476190454,5.622115384615382,1.410575582080553,1.442151818241759,35.56666666666667,34.416000000000004,3441.6,1.9574418604651158,25.25,0.5080791666666667,0.6190100000000001,1.3771051568063353,2.6290909090909085,5.927777777777776,0.7531847826086938,1.1615503875968962,1.1028749999999998,2.3321666666666636,0.4730853658536571,1.1615503875968962,1.4804375007025714,1.4639667092420476,1.3400553246026439,1.285071828083485,0.7761161466874187,0.755442839857528,0.8898076682373451,0.9908451083045502,1.2098596974813018,1.1261340857099504,0.6982500695211555,0.5112587279501745,1.6422510182090104,1.6788386990989619,0.8237883345672984,0.781910116022701,0.8389197585486742,0.9764474999196463,1.045919414111278,0.9217288475142659,1.0

Cluster 2:
,points,points per player's possession,field goals made,field goals attempted,"field goals, %",3-pt field goals made,3-pt field goals attempted,"3-pt field goals, %",free throws made,free throws attempted,"free throws, %",assists,2-pt field goals made,2-pt field goals attempted,"2-pt field goals, %",points off assists,screen assist,points off screen assists,number of player's possessions,team points with player,offensive rating,assists to turnovers,true shooting percentage,effective field goal percentage,uncontested field goals made,uncontested field goals,contested field goals made,contested field goals,transitions made,transitions attempted,catch and shoot made,catch and shoot attempted,catch and drive made,catch and drive attempted,screens off made,screens off attempted,posts up made,posts up attempted,isolations made,isolations attempted,hand off made,hand off attempted,cuts made,cuts attempted,pnr handlers made,pnr handlers attempted,pnp made,pnp attempted,drives made,drives with shot,right drives made,right drives,left drives made,left drives,cluster
count,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0
mean,3.3651856866407357,17.430938389924677,1.145696783205325,2.930762587073437,0.18768076341829804,0.457670175557964,1.4366288046961935,0.1501800980929065,0.6210273525698005,0.8267436934136219,0.35915823569799704,1.4795470629628995,0.6881844923175405,1.4968229826846609,0.22021793188567432,3.5102097803463614,-0.38332092640014637,-0.38457678006723006,21.072605525508767,19.55253246566359,1955.7130060223026,0.9283433335750061,10.782200385573123,0.22492998541627962,0.18046806030490306,0.4793689143766749,0.8961401866684977,2.371713901522109,0.15710439798644837,0.30370409481770827,0.2245751969313251,0.6503835204847006,0.09870129129282315,0.256278751213965,-0.14721071681004097,-0.1000068276593309,-0.3618446617387335,-0.38078626968867746,0.21015732282483587,0.2589469288481835,0.2173745959829112,0.278377938317721,-0.40202565657457345,-0.4131432738315382,0.41032230267784225,0.4406063613958378,-0.3500266328183792,-0.3805204289462611,0.23632525938492688,0.276095092665741,0.2191011946940022,0.2602466963099573,0.20139925854469107,0.2505324031961184,2.0
std,1.0580222866345284,4.757956157424598,0.3614074433821109,0.9118046871640079,0.06663355067606057,0.21943229477093695,0.599397427676386,0.05777612677023313,0.3269314164970161,0.41662769917281084,0.133973586612618,0.6862649291176126,0.3002144448877863,0.6203752593692181,0.08206564262321799,1.6390117214101225,0.25533126596654127,0.27862307767325567,5.1154344192142105,4.901173412846627,489.26515327293833,0.43332674086081124,2.871216801460998,0.07865526774147355,0.10130956658830377,0.22799543230503286,0.3159957938637586,0.7873511964401251,0.09363243271481068,0.15760001872255944,0.11445930607157637,0.27302899868126346,0.06901649423045216,0.1388744832667767,0.4213124860874467,0.4193280219321575,0.2734967924663827,0.293564512354994,0.382752928913125,0.31567678119389225,0.40299162675922984,0.3287367042598542,0.36579019865773205,0.3657299560708078,0.2981432869601557,0.2533913822069748,0.21750621190033992,0.2286278538567366,0.3081877895553083,0.2751734539622614,0.3761791696439115,0.3307525048826218,0.3764231231143315,0.34175858004402443,0.0
